Literal,data1,data2,data3,data4,data5,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Scandinavian Studies,0036-5637,2163-8195,1,2,Nordisk,262,1487,48.0,100.0,"[u'http://dbpedia.org/resource/Loki', u'http://no.dbpedia.org/resource/Loke', u'http://dbpedia.org/resource/Johan_Turi', u'http://sv.dbpedia.org/resource/Anne_Charlotte_Leffler', u'http://dbpedia.org/resource/Scandinavian_studies', u'http://www.livejournal.com/interests.bml?int=scandinavian%20studies', u'http://www.livejournal.com/interests.bml?int=scandinavian+studies', u'http://dbpedia.org/resource/Scandinavian_studies', u'http://ex.plode.us/tag/scandinavian+studies', u'http://rdf.freebase.com/ns/m.026cg5h', u'http://www.eurocris.org/ortelius#720', u'http://www.mpii.de/yago/resource/Scandinavian_studies', u'http://sv.dbpedia.org/resource/Johan_Turi', u'http://dbpedia.org/resource/Scandinavian_studies', u'http://dbpedia.org/resource/Category:Scandinavian_studies', u'http://wikidata.dbpedia.org/resource/Q15763370', u'http://lod.hebis.de/resource/04726544', u'http://sv.dbpedia.org/resource/Anne_Charlotte_Leffler', u'http://era.rkbexplorer.com/id/ERAID-11631', u'http://dbpedia.org/resource/Category:Scandinavian_studies']"
Scandinavian Studies in Law,0085-5944,,1,2,Rettsvitenskap,425,171,12.0,100.0,"[u'http://ld.zdb-services.de/resource/2544237-5', u'http://dbpedia.org/resource/Scandinavian_Studies_in_Law', u'http://dbpedia.org/resource/Stockholm_Institute_for_Scandinavian_Law%23Scandinavian_Studies_in_Law', u'http://dbpedia.org/resource/Scandinavian_Studies_in_Law', u'http://lod.hebis.de/resource/04726548', u'http://lod.hebis.de/resource/04726548', u'http://dbpedia.org/resource/Scandinavian_Studies_in_Law', u'http://lobid.org/resource/HT005640896', u'http://lobid.org/resource/HT005640899', u'http://lobid.org/resource/HT006090993', u'http://lobid.org/resource/HT005948781', u'http://lobid.org/resource/HT005640901', u'http://lobid.org/resource/HT006039593', u'http://lobid.org/resource/HT005986204', u'http://lobid.org/resource/HT005948782', u'http://lobid.org/resource/HT006075055', u'http://lobid.org/resource/HT001932843', u'http://lobid.org/resource/HT001385374', u'http://lobid.org/resource/HT005640898', u'http://lobid.org/resource/HT001932844']"
Schizophrenia Bulletin,0586-7614,1745-1701,1,2,Med - Psykiatri,808,165,44.0,100.0,"[u'http://dbpedia.org/resource/Schizophrenia_Bulletin', u'http://dbpedia.org/resource/Schizophrenia_Bulletin', u'http://dbpedia.org/resource/Schizophrenia_Bulletin', u'http://schizophreniabulletin.oxfordjournals.org/', u'http://www.hero.ac.uk/rae/#Journal-schizophrenia_bulletin:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-schizophrenia_bulletin:1999', u'http://dbpedia.org/resource/Schizophrenia_Bulletin', u'http://rae2001.rkbexplorer.com/id/resource-Journal-schizophrenia_bulletin:1999', u'http://vivo.wustl.edu/individual/j6797989', u'http://dbpedia.org/resource/Schizophrenia_Bulletin', u'http://dbpedia.org/resource/Schizophrenia_Bulletin', u'http://dbpedia.org/resource/Schizophrenia_Bulletin', u'http://lod.hebis.de/resource/04764244', u'http://vivo.med.cornell.edu/individual/journal0586-7614', u'http://wikidata.dbpedia.org/resource/Q4049133', u'http://dbpedia.org/resource/Schizophrenia_Bulletin', u'http://dbpedia.org/class/yago/SchizophreniaBulletin', u'http://era.rkbexplorer.com/id/ERAID-36466', u'http://wikidata.dbpedia.org/resource/Q4049133', u'http://wikidata.dbpedia.org/resource/Q4049133']"
Slavonica,1361-7427,1745-8145,2,1,Slavisk-baltisk,5,1234,32.0,100.0,"[u'http://ld.zdb-services.de/resource/2070727-7', u'http://www.ingentaconnect.com/content/maney/sla/2006/00000012/00000002', u'http://www.hero.ac.uk/rae/#Journal-slavonica:2000', u'http://www.ingentaconnect.com/content/maney/sla/2008/00000014/00000002', u'http://www.hero.ac.uk/rae/#Journal-slavonica:1998', u'http://www.ingentaconnect.com/content/maney/sla/2006/00000012/00000001', u'http://miskinhill.com.au/cited/journals/slavonica/', u'http://www.ingentaconnect.com/content/maney/sla/2007/00000013/00000001', u'http://rae2001.rkbexplorer.com/id/resource-Journal-slavonica:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-slavonica:2000', u'http://wikidata.dbpedia.org/resource/Q15756399', u'http://era.rkbexplorer.com/id/ERAID-12181', u'http://www.hero.ac.uk/rae/#Journal-slavonica:2000', u'http://www.hero.ac.uk/rae/#Journal-slavonica:2000', u'http://www.wikidata.org/entity/Q15756399', u'http://www.wikidata.org/entity/Q15756399', u'http://lod.hebis.de/resource/06951218', u'http://www.hero.ac.uk/rae/#Journal-slavonica:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-slavonica:1998', u'http://www.ingentaconnect.com/content/maney/sla/2007/00000013/00000002']"
Soft Matter,1744-683X,1744-6848,1,2,Tekn - Materialteknologi,1699,1352,65.0,100.0,"[u'http://nl.dbpedia.org/resource/Soft_Matter', u'http://nl.dbpedia.org/resource/Soft_Matter', u'http://dbpedia.org/resource/Soft_matter', u'http://dbpedia.org/resource/Category:Soft_matter', u'http://dbpedia.org/resource/Lotus_effect', u'http://dbpedia.org/resource/Category:Soft_matter', u'http://dbpedia.org/resource/Soft_matter', u'http://eprints.rkbexplorer.com/id/bath/journal-94379c3d6f25d49b963172acdec0837c', u'http://dbpedia.org/resource/Soft_Matter_(journal)', u'http://dbpedia.org/resource/Soft_matter', u'http://eprints.rkbexplorer.com/id/journal-94379c3d6f25d49b963172acdec0837c', u'http://www.kanzaki.com/ns/category/en/Soft_matter#s', u'http://www.kanzaki.com/ns/category/en/Soft_matter#s', u'http://www.kanzaki.com/ns/category/en/Soft_matter#s', u'http://dbpedia.org/resource/Category:Soft_matter', u'http://dbpedia.org/resource/Category:Soft_matter', u'http://dbtune.org/jamendo/track/2745', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#1535322', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#806268', u'http://dbpedia.org/resource/Category:Soft_matter']"
SPE Drilling & Completion,1064-6671,1930-0204,2,1,Tekn - Anvendt geologi og petroleumsfag,485,6,0.0,6.0,"[u'http://ld.zdb-services.de/resource/57373-5', u'http://lobid.org/resource/ZDB57373-5', u'http://lod.hebis.de/resource/06396488', u'http://ld.zdb-services.de/resource/2374631-2', u'http://lod.hebis.de/resource/06396488', u'http://lobid.org/resource/ZDB57373-5']"
Stanford law review,0038-9765,1939-8581,2,1,Rettsvitenskap,971,212,64.0,100.0,"[u'http://ld.zdb-services.de/resource/2067054-0', u'http://ko.dbpedia.org/resource/\ub7ec\ub2c8\ub4dc_\ud578\ub4dc', u'http://wikidata.dbpedia.org/resource/Q7598765', u'http://dbpedia.org/resource/Learned_Hand', u'http://lod.hebis.de/resource/04745246', u'http://lod.hebis.de/resource/04745246', u'http://wikidata.dbpedia.org/resource/Q7598765', u'http://era.rkbexplorer.com/id/ERAID-33818', u'http://tr.dbpedia.org/resource/Eugene_Volokh', u'http://lobid.org/resource/ZDB280820-1', u'http://lobid.org/resource/ZDB2067054-0', u'http://dbpedia.org/resource/Thurgood_Marshall', u'http://ko.dbpedia.org/resource/\ub7ec\ub2c8\ub4dc_\ud578\ub4dc', u'http://dbpedia.org/resource/Stanford_Law_Review', u'http://ld.zdb-services.de/resource/280820-1', u'http://dbpedia.org/resource/Stanford_Law_Review', u'http://dbpedia.org/resource/Stanford_Law_Review', u'http://dbpedia.org/resource/Learned_Hand', u'http://rdf.freebase.com/ns/m.06r5qf', u'http://dbpedia.org/resource/Stanford_Law_Review']"
Studia in Veteris Testamenti Pseudepigrapha,0169-8125,,2,1,Teologi og religionsvitenskap,394,25,0.0,25.0,"[u'http://lod.hebis.de/resource/04758567', u'http://lod.hebis.de/resource/04758567', u'http://lod.hebis.de/resource/01648599', u'http://lobid.org/resource/HT001256588', u'http://lobid.org/resource/HT001256588', u'http://ld.zdb-services.de/resource/413904-5', u'http://lod.hebis.de/resource/01648599', u'http://id.loc.gov/authorities/names/n42023585', u'http://lod.b3kat.de/title/BV002839773', u'http://lod.b3kat.de/title/BV003219568', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#307118', u'http://lod.b3kat.de/title/BV005869262', u'http://lod.b3kat.de/title/BV002950772', u'http://lod.b3kat.de/title/BV003634948', u'http://lod.b3kat.de/title/BV004516535', u'http://lod.b3kat.de/title/BV000273361', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#952579', u'http://lod.b3kat.de/title/BV005231402', u'http://lod.b3kat.de/title/BV003147928', u'http://lod.b3kat.de/title/BV001013973']"
Studies in Christian Mission,0924-9389,,2,1,Teologi og religionsvitenskap,2448,43,5.0,43.0,"[u'http://lodlaundromat.org/.well-known/genid/7720b51bac3254865d8daac0aca89e7a#217790', u'http://lodlaundromat.org/.well-known/genid/7720b51bac3254865d8daac0aca89e7a#24175', u'http://lodlaundromat.org/.well-known/genid/7720b51bac3254865d8daac0aca89e7a#262211', u'http://lobid.org/resource/HT003969110', u'http://lobid.org/resource/HT003969110', u'http://lodlaundromat.org/.well-known/genid/7720b51bac3254865d8daac0aca89e7a#161279', u'http://ld.zdb-services.de/resource/2274774-6', u'http://datos.bne.es/resource/XX3695120', u'http://lodlaundromat.org/.well-known/genid/7720b51bac3254865d8daac0aca89e7a#72383', u'http://lodlaundromat.org/.well-known/genid/7720b51bac3254865d8daac0aca89e7a#173084', u'http://id.loc.gov/authorities/names/n90616847', u'http://lod.b3kat.de/title/BV005879170', u'http://lod.b3kat.de/title/BV006193507', u'http://lod.b3kat.de/title/BV008308419', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#306739', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#655491', u'http://lod.b3kat.de/title/BV005437538', u'http://lod.b3kat.de/title/BV004527449', u'http://lod.b3kat.de/title/BV004358247', u'http://lod.b3kat.de/title/BV005879174']"
Studies in EU External Relations,1875-0451,,2,1,Rettsvitenskap,631,9,0.0,9.0,"[u'http://datos.bne.es/resource/a4413930', u'http://ld.zdb-services.de/resource/2447414-9', u'http://lobid.org/resource/HT015965523', u'http://id.loc.gov/authorities/names/no2008085176', u'http://lobid.org/resource/HT015965523', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#63480', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#847802', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#458227', u'http://lodlaundromat.org/.well-known/genid/971c555b023ea8eeb72703077d59ce81#11295533']"
Studies in Narrative,1568-2706,,2,1,Lingvistikk,2574,41,0.0,41.0,"[u'http://id.loc.gov/authorities/names/n2001026464', u'http://lod.hebis.de/resource/22721486', u'http://lod.hebis.de/resource/22721486', u'http://ld.zdb-services.de/resource/2216636-1', u'http://lobid.org/resource/HT013197462', u'http://datos.bne.es/resource/XX4013412', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#699821', u'http://lobid.org/resource/HT008493916', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#1790932', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#216756', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#1276570', u'http://lobid.org/resource/HT016201453', u'http://lod.b3kat.de/title/BV008717201', u'http://lod.b3kat.de/title/BV008717201', u'http://lobid.org/resource/HT013197462', u'http://datos.bne.es/resource/bimo0000091682', u'http://lobid.org/resource/HT003264830', u'http://lobid.org/resource/HT008493916', u'http://lod.hebis.de/resource/24627678', u'http://lod.b3kat.de/title/BV000796982']"
"Studies in Religion, Secular Beliefs and Human Rights",1871-7829,,2,1,Rettsvitenskap,582,10,0.0,10.0,"[u'http://lobid.org/resource/HT015326682', u'http://datos.bne.es/resource/XX4649509', u'http://ld.zdb-services.de/resource/2625806-7', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#847773', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#457998', u'http://lod.hebis.de/resource/27378242', u'http://ld.zdb-services.de/resource/2253087-3', u'http://lobid.org/resource/HT015326682', u'http://id.loc.gov/authorities/names/n2006024808', u'http://lod.hebis.de/resource/27378242']"
Studies of Religion in Africa,0169-9814,,2,1,Teologi og religionsvitenskap,1998,18,0.0,18.0,"[u'http://ld.zdb-services.de/resource/420145-0', u'http://lod.hebis.de/resource/04760409', u'http://lod.hebis.de/resource/01276189', u'http://lod.hebis.de/resource/01276189', u'http://lod.hebis.de/resource/04760409', u'http://lobid.org/resource/ZDB420145-0', u'http://lobid.org/resource/HT004183083', u'http://datos.bne.es/resource/XX3921439', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#556577', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#1176772', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#206039', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#2124328', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#479659', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#556608', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#1379751', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#24086', u'http://lobid.org/resource/ZDB420145-0', u'http://lobid.org/resource/HT004183083']"
Studies on the Law of Treaties,1574-9088,,2,1,Rettsvitenskap,1651,7,0.0,7.0,"[u'http://ld.zdb-services.de/resource/2201757-4', u'http://lobid.org/resource/ZDB2201757-4', u'http://id.loc.gov/authorities/names/n2005046722', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#177415', u'http://lobid.org/resource/ZDB2201757-4', u'http://lobid.org/resource/ZDB2201757-4', u'http://lobid.org/resource/ZDB2201757-4']"
Sustainable Development,0968-0802,1099-1719,1,2,Utviklingsstudier,1539,65406,62.0,100.0,"[u'http://te.dbpedia.org/resource/\u0c05\u0c1f\u0c35\u0c40_\u0c28\u0c3f\u0c30\u0c4d\u0c2e\u0c42\u0c32\u0c28', u'http://dbpedia.org/resource/Category:Sustainable_development', u'http://dbpedia.org/resource/Drasi', u'http://dbpedia.org/resource/Efficient_energy_use', u'http://dbpedia.org/resource/Energy_conservation', u'http://dbpedia.org/resource/International_Institute_for_Sustainable_Development', u'http://dbpedia.org/resource/Rainforest_Partnership', u'http://dbpedia.org/resource/Renewable_resource', u'http://dbpedia.org/resource/Category:Sustainable_development', u'http://dbpedia.org/resource/Sustainable_energy', u'http://www.worldchanging.com/archives/011130.html', u'http://www4.wiwiss.fu-berlin.de/bookmashup/subject/Sustainable+development', u'http://kisti.rkbexplorer.com/id/TOP_00000000000000116312', u'http://green10.typepad.com/green_10/2007/06/green_week_test.html', u'http://dbpedia.org/resource/Fuel_cell', u'http://www.rdfabout.com/rdf/usgov/congress/105/bills/h4570', u'http://dbpedia.org/resource/Compressed-air_car', u'http://dbpedia.org/resource/Conservation_biology', u'http://dbpedia.org/resource/Development_studies', u'http://www.vox.com/explore/interests/sustainable%20development']"
Systems Engineering,1098-1241,1520-6858,1,2,Tekn - Maskinteknikk,880,18484,20.0,100.0,"[u'http://ld.zdb-services.de/resource/2128231-6', u'http://nl.dbpedia.org/resource/Systems_Engineering', u'http://ld.zdb-services.de/resource/2451999-6', u'http://ld.zdb-services.de/resource/2465044-4', u'http://dbpedia.org/resource/Systems_engineering', u'http://dbpedia.org/resource/Systems_engineering', u'http://dbpedia.org/resource/Category:Systems_Engineering', u'http://dblp.rkbexplorer.com/id/journals-dd933aec535ee18ec674f5b94968c767', u'http://dbpedia.org/resource/Category:Systems_engineering', u'http://dbpedia.org/resource/Systems_engineering', u'http://acm.rkbexplorer.com/id/23691', u'http://acm.rkbexplorer.com/id/581342', u'http://acm.rkbexplorer.com/id/571690', u'http://lodlaundromat.org/.well-known/genid/274a32df936ea0dd99a1d69163b056ca#5763', u'http://dbpedia.org/resource/PaR_Systems', u'http://www.livejournal.com/interests.bml?int=systems%20engineering', u'http://id.loc.gov/authorities/sh85131750#concept', u'http://lodlaundromat.org/.well-known/genid/e3497c5a34ca2bcae8428168dc3cf65e#5763', u'http://acm.rkbexplorer.com/id/571690', u'http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000037203']"
Technovation,0166-4972,1879-2383,1,2,Tekn - Maskinteknikk,9,190,7.0,100.0,"[u'http://ld.zdb-services.de/resource/2021147-8', u'http://www.hero.ac.uk/rae/#Journal-technovation:1997', u'http://www.hero.ac.uk/rae/#Journal-technovation:1998', u'http://www.hero.ac.uk/rae/#Journal-technovation:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-technovation:2000', u'http://eprints.rkbexplorer.com/id/lse/journal-b398e9ab39c7dbc9d907f7c5b8849b5b', u'http://www.hero.ac.uk/rae/#Journal-technovation:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-technovation:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-technovation:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-technovation:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-technovation:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-technovation:1996', u'http://wikidata.dbpedia.org/resource/Q15752053', u'http://lod.hebis.de/resource/04686764', u'http://lod.hebis.de/resource/04686764', u'http://era.rkbexplorer.com/id/ERAID-22304', u'http://wikidata.dbpedia.org/resource/Q15752053', u'http://www.hero.ac.uk/rae/#Journal-technovation:1998', u'http://www.hero.ac.uk/rae/#Journal-technovation:1997', u'http://www.wikidata.org/entity/Q15752053']"
Texas Journal of International Law,0163-7479,,2,1,Rettsvitenskap,3951,0,0.0,0.0,[]
Text & Talk,1860-7330,1860-7349,2,1,Lingvistikk,2488,181,42.0,100.0,"[u'http://ld.zdb-services.de/resource/2221169-X', u'http://ld.zdb-services.de/resource/2222555-9', u'http://dbpedia.org/resource/Text_&_Talk', u'http://dbpedia.org/resource/Text_&_Talk', u'http://dbpedia.org/resource/Text_talk', u'http://dbpedia.org/resource/Text_&_Talk', u'http://dbpedia.org/resource/Text_&_Talk', u'http://dbpedia.org/resource/Text_&_Talk', u'http://dbpedia.org/resource/Text_talk', u'http://dbpedia.org/resource/Text_&_Talk', u'http://wikidata.dbpedia.org/resource/Q7708394', u'http://dbpedia.org/resource/Text_&_Talk', u'http://dbpedia.org/resource/Text_%26_Talk', u'http://dbpedia.org/resource/Text_&_Talk', u'http://lobid.org/resource/ZDB2222555-9', u'http://lobid.org/resource/HT014975678', u'http://lodlaundromat.org/.well-known/genid/7720b51bac3254865d8daac0aca89e7a#235576', u'http://dbpedia.org/resource/Text_&_Talk', u'http://dbpedia.org/resource/Text_talk', u'http://dbpedia.org/resource/Text_&_Talk']"
The Georgetown law journal,0016-8092,,2,1,Rettsvitenskap,2095,289,11.0,100.0,"[u'http://dbpedia.org/resource/Georgetown_Law_Journal', u'http://dbpedia.org/resource/Georgetown_Law_Journal', u'http://dbpedia.org/resource/Georgetown_Law_Journal', u'http://dbpedia.org/resource/Georgetown_Law_Journal', u'http://lobid.org/resource/HT005599743', u'http://lobid.org/resource/HT005599776', u'http://lobid.org/resource/HT005599783', u'http://lobid.org/resource/HT005869794', u'http://lobid.org/resource/HT005946460', u'http://lobid.org/resource/HT005599745', u'http://lobid.org/resource/HT005599755', u'http://lobid.org/resource/HT005599744', u'http://lobid.org/resource/HT005599759', u'http://lobid.org/resource/HT005599771', u'http://lobid.org/resource/HT005599780', u'http://lobid.org/resource/HT005792101', u'http://lobid.org/resource/HT005803512', u'http://lobid.org/resource/HT005946459', u'http://lobid.org/resource/HT005599739', u'http://lobid.org/resource/HT005599785']"
The International Journal of Children's Rights,0927-5568,1571-8182,1,2,Rettsvitenskap,952,59,7.0,59.0,"[u'http://rae2001.rkbexplorer.com/id/resource-Journal-the_international_journal_of_childrens_rights:1998', u'http://www.hero.ac.uk/rae/#Journal-the_international_journal_of_childrens_rights:1997', u'http://wikidata.dbpedia.org/resource/Q15750691', u'http://wikidata.dbpedia.org/resource/Q15750691', u'http://wikidata.dbpedia.org/resource/Q15750691', u'http://era.rkbexplorer.com/id/ERAID-35620', u'http://lobid.org/resource/HT010839185', u'http://lobid.org/resource/HT012908483', u'http://lobid.org/resource/HT014475090', u'http://lobid.org/resource/HT007549754', u'http://lobid.org/resource/HT007549760', u'http://lobid.org/resource/HT013245818', u'http://lobid.org/resource/HT013807466', u'http://lobid.org/resource/HT007528475', u'http://lobid.org/resource/HT014133886', u'http://www.wikidata.org/entity/Q15750691', u'http://www.wikidata.org/entity/Q15750691', u'http://www.wikidata.org/entity/Q15750691', u'http://lod.hebis.de/resource/09268204', u'http://lod.hebis.de/resource/06889236']"
The New York university law review,0028-7806,,2,1,Rettsvitenskap,5876,28,26.0,28.0,"[u'http://dbpedia.org/resource/NYU_Law_Review', u'http://dbpedia.org/resource/NYU_Law_Review', u'http://dbpedia.org/resource/NYU_Law_Review', u'http://dbpedia.org/resource/NYU_Law_Review', u'http://dbpedia.org/resource/NYU_Law_Review', u'http://dbpedia.org/resource/New_York_University_Law_Review', u'http://dbpedia.org/resource/NYU_Law_Review', u'http://dbpedia.org/resource/New_York_University_Law_Review', u'http://dbpedia.org/resource/New_York_University_Law_Review', u'http://dbpedia.org/resource/New_York_University_Law_Review', u'http://dbpedia.org/resource/New_York_University_Law_Review', u'http://dbpedia.org/resource/New_York_University_Law_Review', u'http://dbpedia.org/resource/Martin_Lipton', u'http://dbpedia.org/resource/Martin_Lipton', u'http://dbpedia.org/resource/Martin_Lipton', u'http://dbpedia.org/resource/Peter_Linebaugh', u'http://dbpedia.org/resource/Bernard_Hibbitts', u'http://dbpedia.org/resource/Bernard_Hibbitts', u'http://dbpedia.org/resource/Bernard_Hibbitts', u'http://dbpedia.org/resource/Bernard_Hibbitts']"
The Raoul Wallenberg Institute Human Rights Library,1388-3208,,2,1,Rettsvitenskap,285,13,0.0,13.0,"[u'http://lod.hebis.de/resource/09403074', u'http://ld.zdb-services.de/resource/2744883-6', u'http://lod.hebis.de/resource/09403074', u'http://ld.zdb-services.de/resource/2026501-3', u'http://lobid.org/resource/HT007721362', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#907289', u'http://lobid.org/resource/HT007721362', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1529255', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#1318598', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1943085', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#307345', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#1026016', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#458181']"
The University of Chicago Law Review,0041-9494,1939-859X,2,1,Rettsvitenskap,3982,295,9.0,100.0,"[u'http://ld.zdb-services.de/resource/701036-9', u'http://lobid.org/resource/HT014178077', u'http://lobid.org/resource/HT005604205', u'http://lobid.org/resource/HT005604217', u'http://lobid.org/resource/HT005604225', u'http://lobid.org/resource/HT005604234', u'http://lobid.org/resource/HT005867914', u'http://lobid.org/resource/HT013388165', u'http://lobid.org/resource/HT005823005', u'http://lobid.org/resource/HT006084563', u'http://lobid.org/resource/HT005604203', u'http://lobid.org/resource/HT005604210', u'http://lobid.org/resource/HT005604215', u'http://lobid.org/resource/HT005604228', u'http://lobid.org/resource/HT005754910', u'http://lobid.org/resource/HT012795839', u'http://lobid.org/resource/HT005604229', u'http://lobid.org/resource/HT005925102', u'http://lobid.org/resource/HT005784935', u'http://lobid.org/resource/HT005604218']"
Theatre research international,0307-8833,1474-0672,2,1,Teatervitenskap og drama,990,81,17.0,81.0,"[u'http://www.hero.ac.uk/rae/#Journal-theatre_research_international:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-theatre_research_international:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-theatre_research_international:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-theatre_research_international:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-theatre_research_international:2000', u'http://www.hero.ac.uk/rae/#Journal-theatre_research_international:1999', u'http://www.hero.ac.uk/rae/#Journal-theatre_research_international:1998', u'http://www.hero.ac.uk/rae/#Journal-theatre_research_international:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-theatre_research_international:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-theatre_research_international:1999', u'http://wikidata.dbpedia.org/resource/Q15759328', u'http://lod.hebis.de/resource/04713395', u'http://wikidata.dbpedia.org/resource/Q15759328', u'http://www.hero.ac.uk/rae/#Journal-theatre_research_international:1999', u'http://www.hero.ac.uk/rae/#Journal-theatre_research_international:1998', u'http://www.hero.ac.uk/rae/#Journal-theatre_research_international:2000', u'http://www.hero.ac.uk/rae/#Journal-theatre_research_international:1997', u'http://www.wikidata.org/entity/Q15759328', u'http://www.wikidata.org/entity/Q15759328', u'http://lod.hebis.de/resource/09813189']"
Themes in Biblical Narrative,1388-3909,,2,1,Teologi og religionsvitenskap,477,16,2.0,16.0,"[u'http://id.loc.gov/authorities/names/n98080553', u'http://lobid.org/resource/HT010507242', u'http://ld.zdb-services.de/resource/2123227-1', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1529651', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#1840425', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#832242', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#63249', u'http://id.loc.gov/authorities/names/n2008018311', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#63236', u'http://lobid.org/resource/HT010507242', u'http://dbpedia.org/resource/Loren_Stuckenbruck', u'http://dbpedia.org/resource/Loren_Stuckenbruck', u'http://lodlaundromat.org/.well-known/genid/c0f1366f5e5deae327b47ba6e116bbc1#node3758xxhttpx3Ax2Fx2Faorlovx2Elivejournalx2Ecomx2Fdatax2Ffoaf', u'http://lodlaundromat.org/.well-known/genid/f2c5bae7fac714693411114b7a87422e#genid1httpx3Ax2Fx2Faorlovx2Elivejournalx2Ecomx2Fdatax2Ffoaf', u'http://lodlaundromat.org/.well-known/genid/93b9a725d2013e1d29a7d7dd5f6a44f8#genid1xxhttpx3Ax2Fx2Faorlovx2Elivejournalx2Ecomx2Fdatax2Ffoaf', u'http://lodlaundromat.org/.well-known/genid/c926d22eb49788382ffc87a5942f7fb3#httpx3Ax2Fx2Faorlovx2Elivejournalx2Ecomx2Fdatax2Ffoafxxbnode0']"
